text,target_list
everything we had was good or ok....but definitely nothing great.,"[0, 1, 0]"
"when you add it all together, it just does not seem worth it to me...especially considering the prices.","[1, 0, 0]"
this is the best shabu-shabu restaurant in the try-state area.,"[0, 0, 1]"
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan.,"[0, 0, 1]"
thius is a must for anyone who loves shabu-shabu.,"[0, 0, 1]"
"the atmosphere is nothing special, but it feels like a sushi establishment in tokyo.","[0, 0, 1]"
the owner and staff are all japanese as well and that adds to the entire ambiance.,"[0, 0, 1]"
i must give it yon out of yon stars!,"[0, 0, 1]"
taxan delicious!,"[0, 0, 1]"
"this restaurant was recommended by a local...as a matter of fact, he made the reservation for us and said we would not be disappointed!","[0, 0, 1]"
the prices were cheap compared to the quality of service and food.,"[0, 0, 1]"
"we liked it so much, that we will always make it a point to dine here when we visit new york.","[0, 0, 1]"
there is a lot of variety even for people who eat vegetarian like me.,"[0, 0, 1]"
try green curry with vegetables.,"[0, 0, 1]"
"the quantity is also very good, you will come out satisfied.","[0, 0, 1]"
"the service is ok, some of the people did not get what they asked for.","[0, 1, 0]"
i was there on sat. for my birthday and we had an excellent time.,"[0, 0, 1]"
i had the best ravioli ever.,"[0, 0, 1]"
the wine the service was very good too.,"[0, 0, 1]"
moderate prices.,"[0, 1, 0]"
a little noise but i think that was because of our party!,"[0, 1, 0]"
this quaint and romantic trattoria is at the top of my manhattan restaurant list.,"[0, 0, 1]"
"the food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","[0, 0, 1]"
"whether it is the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to northern italy with one bite.","[0, 0, 1]"
a guaranteeed delight!,"[0, 0, 1]"
"i have known about this secret for the last 13 years, emilio(the godfather) has continued to serve food and wine for the gods at mortal prices.","[0, 0, 1]"
"if you go, try the marinara/arrabiatta sauce, the mozzarella en carozza is mmmmmmmm..... everything is just delicious.","[0, 0, 1]"
check out the secret back room.,"[0, 0, 1]"
i pray it stays open forever.,"[0, 0, 1]"
thank you emilio.,"[0, 0, 1]"
"i found the food, service and value exceptional everytime i have been there.","[0, 0, 1]"
the food was authentic.,"[0, 0, 1]"
i felt as though i were eating in paris.,"[0, 0, 1]"
the service was excellent - friendly and attentive.,"[0, 0, 1]"
the prices are wonderfully low.,"[0, 0, 1]"
very good wine choices.,"[0, 0, 1]"
who has room for cheesesticks with the best pizza in nyc!,"[0, 0, 1]"
get the pepperoni - yum - and a family style salad.,"[0, 0, 1]"
great staff.,"[0, 0, 1]"
always great service!,"[0, 0, 1]"
i go twice a month!,"[0, 0, 1]"
fantastic!,"[0, 0, 1]"
"the food is good, i can not lie.","[0, 0, 1]"
but the staff was so horrible to us.,"[1, 0, 0]"
the hostess and the waitress were incredibly rude and did everything they could to rush us out.,"[1, 0, 0]"
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,"[1, 0, 0]"
save yourself the time and trouble and skip this one!,"[1, 0, 0]"
amma is nothing special.,"[0, 1, 0]"
i ate here a week ago and found most dishes average at best and too expensive.,"[1, 0, 0]"
will not be back.,"[1, 0, 0]"
this place is always packed.,"[0, 1, 0]"
"most importantly, food is excellent.","[0, 0, 1]"
try the sea bass.,"[0, 0, 1]"
highly recommended.,"[0, 0, 1]"
first of all dal bukhara rocks.,"[0, 0, 1]"
i am happy i did the food was awsome.,"[0, 0, 1]"
just awsome.,"[0, 0, 1]"
and yes dal bukhara is so dam good and so are all the kababs.,"[0, 0, 1]"
but overall i give it a 10,"[0, 0, 1]"
10,"[0, 0, 1]"
haru on park s is simply disgusting.,"[1, 0, 0]"
the fish was not fresh and the rice tasted old and stale.,"[1, 0, 0]"
"quite frankly, this is some of the worst sushi i have ever tried.","[1, 0, 0]"
will never be back.,"[1, 0, 0]"
honestly the worst sushi my husband and i had in our entire lives.,"[1, 0, 0]"
not sure why this restaurant would be rated that highly.,"[1, 0, 0]"
the all-u-can-eat sushi is definitely in very poor quality.,"[1, 0, 0]"
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. ","[1, 0, 0]"
"the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. ","[1, 0, 0]"
the waitstaffs are nice though.,"[0, 0, 1]"
wont come back again for sure!,"[1, 0, 0]"
i have been to roth is twice and both times were very disappointing.,"[1, 0, 0]"
"both times i was extremely dissappointed by the service, which was boarderline rude.","[1, 0, 0]"
they wouldnt even let me finish my glass of wine before offering another.,"[1, 0, 0]"
much of the time it seems like they do not care about you.,"[1, 0, 0]"
"the dinner was ok, nothing i would have again.","[1, 0, 0]"
"i had their eggs benedict for brunch, which were the worst in my entire life, i tried removing the hollondaise sauce completely that was how failed it was.","[1, 0, 0]"
this was a great surprise.,"[0, 0, 1]"
with the theater 2 blocks away we had a delicious meal in a beautiful room.,"[0, 0, 1]"
the service was attentive.,"[0, 0, 1]"
i look forward to eating here again,"[0, 0, 1]"
planet thai is great!,"[0, 0, 1]"
"we love the food, drinks, and atmosphere!","[0, 0, 1]"
"try the pad thai, it is fabulous and their prices are so cheap!","[0, 0, 1]"
"just because it is cheap does not mean the portions are small or the food is nasty, it is great!","[0, 0, 1]"
"they forgot a sandwich, did not include plastic forks, and did not include pita with the hummus platter.","[1, 0, 0]"
"also, the sandwiches (nearing $7) did not come with anything like chips or a side.","[1, 0, 0]"
"overall, not worth the money.","[1, 0, 0]"
chennai garden is my favorite indian restaurant in the city.,"[0, 0, 1]"
they have authentic indian at amazin prices.,"[0, 0, 1]"
this restaurant is vegetarian; there are no meat dishes whatsoever.,"[1, 0, 0]"
the seats are uncomfortable if you are sitting against the wall on wooden benches.,"[1, 0, 0]"
it is a rather cramped and busy restaurant and it closes early.,"[1, 0, 0]"
patroon features a nice cigar bar and has great staff.,"[0, 0, 1]"
the food is tasty and portion sizes are appropriate.,"[0, 0, 1]"
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,"[0, 0, 1]"
not a great place for family or general dining.,"[1, 0, 0]"
lloovve this place.,"[0, 0, 1]"
food is excellent.,"[0, 0, 1]"
fish is so very fresh.,"[0, 0, 1]"
waitstaff are very friendly.,"[0, 0, 1]"
love yuka.,"[0, 0, 1]"
mermaid inn is an overall good restaurant with really good seafood.,"[0, 0, 1]"
the lobster sandwich is good and the spaghetti with scallops and shrimp is great.,"[0, 0, 1]"
the service is good and ambience is good for a date or group outing.,"[0, 0, 1]"
the only fallback on this restaurant is the prices.,"[1, 0, 0]"
we were very pleasantly surprised.,"[0, 0, 1]"
"the food was delicious (i had a halibut special, my husband had steak), and the service was top-notch.","[0, 0, 1]"
"when my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.","[0, 0, 1]"
truly the mark of an attentive waiter.,"[0, 0, 1]"
i highly recommend the restaurant based on our experience last night.,"[0, 0, 1]"
we ate at this thai place following the reviews but very unhappy with the foods.,"[1, 0, 0]"
we thought that this place is using too much of msg cooking in the foods.,"[1, 0, 0]"
"they do not concern much of customer is health, just want to make money.","[1, 0, 0]"
please do not fool us.,"[1, 0, 0]"
"i recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.","[0, 0, 1]"
the food is so cheap and the waiters are nice.,"[0, 0, 1]"
"of course, it is crowded but who cares.","[0, 1, 0]"
authentic shanghai style and i cannot recommend a better shanghai place in new york.,"[0, 0, 1]"
have frequented 'ino for several years and the food remains excellent.,"[0, 0, 1]"
cheese plate is a varied delight and great bargain at $10.,"[0, 0, 1]"
"the large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","[0, 0, 1]"
"(the asparagus, truffle oil, parmesan bruschetta is a winner!)","[0, 0, 1]"
wine list is extensive without being over-priced.,"[0, 0, 1]"
"be sure to try the seasonal, and always delicious, specials.","[0, 0, 1]"
definitely a neighborhood favorite.,"[0, 0, 1]"
i loved this place!!,"[0, 0, 1]"
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,"[0, 0, 1]"
"the food was very good, a great deal, and the place its self was great.","[0, 0, 1]"
"the wait staff is very freindly, they make it feel like you are eating in a freindly little european town.","[0, 0, 1]"
"the service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.","[1, 0, 0]"
"the waitress, seems to be more concerned of looking good than actually waitressing.","[1, 0, 0]"
"after dinner the manager grabbed my boyfriend, asked him: where are you from...maybe you dont know how things work in america...and in the end stormed away almost teareyed yelling that tips are the only thing they survive on.","[1, 0, 0]"
"we did tip, i guess the model/waitress just wanted more and complained to the manager.","[1, 0, 0]"
pizza here is consistently good.,"[0, 0, 1]"
salads are a delicious way to begin the meal.,"[0, 0, 1]"
you should pass on the calamari.,"[1, 0, 0]"
it is thick and slightly soggy.,"[1, 0, 0]"
decor is charming.,"[0, 0, 1]"
service is average.,"[0, 1, 0]"
what a great place.,"[0, 0, 1]"
"the ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.","[0, 0, 1]"
"i was not thrilled to have to wait on line for thirty minutes, but i guess that is the price you pay for a popular place.","[0, 1, 0]"
i would definitely recommend sea if you like thai cuisine!,"[0, 0, 1]"
i was here a few weeks back and we had the worst customer service experience at a restaurant ever.,"[1, 0, 0]"
"a gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.","[1, 0, 0]"
"when asked about how a certain dish was prepared in comparison to a similar at other thai restaurants, he replied this is not mcdonald is, every place makes things differently ","[1, 0, 0]"
"while it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.","[1, 0, 0]"
never again!,"[1, 0, 0]"
i absolutely loved this place.,"[0, 0, 1]"
"excellent atmosphere, delicious dishes good and friendly service.","[0, 0, 1]"
this is can became on e of the ny italian food fare institutions.,"[0, 0, 1]"
i think that it is absolutely brilliant and well runned business operation.,"[0, 0, 1]"
the wine list is also really nice.,"[0, 0, 1]"
"everything was wonderful; food, drinks, staff, mileau.","[0, 0, 1]"
i would highly recommend this place!,"[0, 0, 1]"
i have been to casimir over 5 times and i have always had a great time there.,"[0, 0, 1]"
the food is great and reasonably priced.,"[0, 0, 1]"
"i have tried to make reservations, but both times, the hostess did not have my name.","[1, 0, 0]"
"if the weather is nice, try to snag an outside table.","[0, 0, 1]"
my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent.,"[0, 0, 1]"
"from the spectacular caviar to the hospitable waitstaff, i felt like royalty and enjoyed every second of it.","[0, 0, 1]"
"considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.","[0, 0, 1]"
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service.,"[0, 0, 1]"
nice family owned traditional restaurant.,"[0, 0, 1]"
fresh ingredients and everything is made to order.,"[0, 0, 1]"
i was pleasantly surprised to find this gem in hoboken.,"[0, 0, 1]"
friendly staff that actually lets you enjoy your meal and the company you are with.,"[0, 0, 1]"
"i found the food to be outstanding, particulary the salmon dish i had.","[0, 0, 1]"
"i also ordered the change mojito, which was out of this world.","[0, 0, 1]"
"my friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.","[0, 1, 0]"
"we ate out in the back patio, which is worth it as it is cool and the music is hear well there.","[0, 0, 1]"
"overall, excellent restaurant!","[0, 0, 1]"
the food was good.,"[0, 0, 1]"
the place was nice and calm.,"[0, 0, 1]"
but the service was a bit slow.,"[1, 0, 0]"
the buffet had a nice selection.,"[0, 0, 1]"
the food was average or above including some surprising tasty dishes.,"[0, 0, 1]"
service was also very good.,"[0, 0, 1]"
i would go back.,"[0, 0, 1]"
i got an excellent piece of cheesecake and we had several other nice pastries.,"[0, 0, 1]"
my son and his girlfriend both wanted cheeseburgers and they were huge!,"[0, 1, 0]"
"but, they were too big for the bun.","[1, 0, 0]"
"consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.","[1, 0, 0]"
also they were $15 each!,"[1, 0, 0]"
i had a huge pastrami sandwich on a roll.,"[0, 1, 0]"
"the last two times i ordered from here my food was soo spicy that  i could barely eat it, and the spice took away from the flavor of the dish.","[1, 0, 0]"
and the tom kha soup was pathetic.,"[1, 0, 0]"
if you want good authentic thai this place is not the place to go.,"[1, 0, 0]"
"we went here for lunch a couple of weeks ago on a saturday, and i was thoroughly impressed with the food.","[0, 0, 1]"
"the pesto pizza was excellent, thin-crust pizza with a nice amount of spicy italian cheese that i would never heard of before.","[0, 0, 1]"
"conveniently located too, being right on bedford ave.","[0, 0, 1]"
"the back garden sitting area is very pleasant, where you can see their personal herb garden.","[0, 0, 1]"
i will definetly be going back.,"[0, 0, 1]"
we had the lobster sandwich and it was fantastic.,"[0, 0, 1]"
we had the scallops as an appetizer and they were delicious and the sauce was wonderful.,"[0, 0, 1]"
we waited at the bar and had martinis that were just right.,"[0, 0, 1]"
we will be back.,"[0, 0, 1]"
love the food.,"[0, 0, 1]"
it is the only place you can get yummy authentic japanese comfort food.,"[0, 0, 1]"
and you can not beat the prices.,"[0, 0, 1]"
highly recommended.,"[0, 0, 1]"
i have lived in ny for 5 years and this place has it all.,"[0, 0, 1]"
"great food, good size menu, great service and an unpretensious setting.","[0, 0, 1]"
"the dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i have ever had).","[0, 0, 1]"
i am glad i was introduced to this place and this is a rare gem in ny.,"[0, 0, 1]"
"the freshest, best variety, and the fastest delivery.","[0, 0, 1]"
also very inexpensive.,"[0, 0, 1]"
a great choice at any cost and a great deal.,"[0, 0, 1]"
the service was excellent and the food was delicious.,"[0, 0, 1]"
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.","[0, 0, 1]"
definitely a great spot for a nice occasion or date.,"[0, 0, 1]"
i have waited over one hour for food.,"[1, 0, 0]"
they were very abrupt with me when i called and actually claimed the food was late because they were out of rice.,"[1, 0, 0]"
a thai restaurant out of rice during dinner?,"[1, 0, 0]"
"the food arrived 20 minutes after i called, cold and soggy.","[1, 0, 0]"
this is a wonderful place on all stand points especially value ofr money.,"[0, 0, 1]"
an excellent service,"[0, 0, 1]"
we were greeted promptly by the waiter who was very nice and cordial.,"[0, 0, 1]"
she was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about indian food.,"[0, 0, 1]"
the food looked very appetizing and delicious since it came on a variety of fancy plates.,"[0, 0, 1]"
we ended our great experience by having gulab jamun (dessert) recommended by the waiter.,"[0, 0, 1]"
i thanked my friend who recommended me this restaurant and will certainly recommend it to others.,"[0, 0, 1]"
"service here was great, food was fantastic.","[0, 0, 1]"
will absolutely visit again.,"[0, 0, 1]"
you cannot go wrong with this place.,"[0, 0, 1]"
"the food is outstanding and the service is quick, friendly and very professional.","[0, 0, 1]"
"always a nice crowd, but never loud.","[0, 0, 1]"
go here.,"[0, 0, 1]"
good for dates or with friends.,"[0, 0, 1]"
i am reluctant to write because i would not want my jem of a pizza place to become overcrowded.,"[0, 0, 1]"
"however, it is jus too good to not praise it.","[0, 0, 1]"
"by far, the best pizza in manhattan.","[0, 0, 1]"
"the crust is thin, the ingredients are fresh and the staff is friendly.","[0, 0, 1]"
the menu has so many fish items and oysters.,"[0, 0, 1]"
"the fish was really,really fresh.","[0, 0, 1]"
we all agreed that mare is one of the best seafood restaurants in new york.,"[0, 0, 1]"
i stumbled upon this great pizzeria as i explored my new neighborhood.,"[0, 0, 1]"
all of the pizzas are terrific and the price is even better!,"[0, 0, 1]"
i highly recommend the sophia pizza.,"[0, 0, 1]"
it is to die for!,"[0, 0, 1]"
the food was mediocre at best but it was the horrible service that made me vow never to go back.,"[1, 0, 0]"
"immediately after we paid, the waiter took the money and said, okay, you guys are outta here.","[1, 0, 0]"
so rushing us out was absolutely unnecessary!,"[1, 0, 0]"
"for the people who want great food plus great service, roxy is a place to avoid!","[1, 0, 0]"
i am sure i will return for a final judgement tho.,"[0, 1, 0]"
"the blond wood decor is very soothing, the premium sake is excellent and the service is great.","[0, 0, 1]"
mizu is the japenese find in grammercy.,"[0, 0, 1]"
"while their kitchen food is delicious, their sushi is out of this world.","[0, 0, 1]"
mizu is home to creative and unique rolls not to found anywhere else.,"[0, 0, 1]"
"not only is the cuisine the best around, the service has always been attentive and charming.","[0, 0, 1]"
warning: you may find it difficult to dine at other japanese restaurants after a visit to mizu!,"[0, 0, 1]"
i ordered the smoked salmon and roe appetizer and it was off flavor.,"[1, 0, 0]"
"the entree was bland and small, dessert was not inspired.","[1, 0, 0]"
i expected quite a bit more from such an expensive menu.,"[1, 0, 0]"
"the view is spectacular, and the food is great.","[0, 0, 1]"
wonderful strawberry daiquiries as well!,"[0, 0, 1]"
definitely worth the trip to battery park city!,"[0, 0, 1]"
one of my favorite places in manhattan.,"[0, 0, 1]"
authentic taiwanese food that is cheap... what more could you ask for?,"[0, 0, 1]"
(besides that there should be more restaurants like it around the city).,"[0, 0, 1]"
the cold appetizer dishes taste like the way i remember them to taste when i was growing up in taiwan.,"[0, 0, 1]"
delicious simple food in nice outdoor atmosphere.,"[0, 0, 1]"
"kind, attentive wait staff.","[0, 0, 1]"
i really like both the scallops and the mahi mahi (on saffron risotto-yum!).,"[0, 0, 1]"
my friend devoured her chicken and mashed potatos.,"[0, 0, 1]"
delicious crab cakes too.,"[0, 0, 1]"
"even if the food was not this good, the garden is a great place to sit outside and relax.","[0, 0, 1]"
great neighborhood joint.,"[0, 0, 1]"
this is a nice pizza place with good selection of thin crust pizza including the basil slice.,"[0, 0, 1]"
"their calzones are horrific, bad, vomit-inducing, yuck.","[1, 0, 0]"
they smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,"[1, 0, 0]"
the counter service is bad.,"[1, 0, 0]"
they charge different prices all the time.,"[1, 0, 0]"
"they are rude at times, and not very friendly.","[1, 0, 0]"
no pizza 33 for me!,"[1, 0, 0]"
"anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.","[1, 0, 0]"
"the dosas are skimpy, unattractive and drip with grease, and personally i would drink popcorn topping before i would eat another one of these.","[1, 0, 0]"
"the sandwiches are dry, tasteless and way overpriced.","[1, 0, 0]"
"calling the place hampton chutney co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.","[1, 0, 0]"
"seriously, this place kicks ass.","[0, 0, 1]"
"the atmosphere is unheralded, the service impecible, and the food magnificant.","[0, 0, 1]"
"best italian food i ever had (and being italian, that means alot).","[0, 0, 1]"
"it is nearly impossible to get a table, so if you ever have the chance to go here for dinner, do not pass it up.","[0, 0, 1]"
"this is such a lovely, peaceful place to eat outside.","[0, 0, 1]"
the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty.,"[0, 0, 1]"
"it is set far from the small street it is on, and there is no traffic noise.","[0, 0, 1]"
"the food is good, especially their more basic dishes, and the drinks are delicious.","[0, 0, 1]"
"this is a great place to take out-of-towners, and perfect for watching the sunset.","[0, 0, 1]"
great sushi experience.,"[0, 0, 1]"
nice value.,"[0, 0, 1]"
unique apppetizers.,"[0, 0, 1]"
try sushimi cucumber roll.,"[0, 0, 1]"
"good spreads, great beverage selections and bagels really tasty.","[0, 0, 1]"
the big complaint: no toasting available.,"[1, 0, 0]"
murray will not do it.,"[1, 0, 0]"
will not or can not is not in the service directory.,"[1, 0, 0]"
but who says murray is is anything about service.,"[1, 0, 0]"
"so close, but not good enough.","[0, 1, 0]"
do not be fooled by crowds of people.,"[1, 0, 0]"
the service is awful.,"[1, 0, 0]"
this place is not worth the prices.,"[1, 0, 0]"
"also, do not plan on asking for your favorite roll, if it is not on the menu, you can not have it.","[1, 0, 0]"
love pizza 33..,"[0, 0, 1]"
i will be out with friends and all of a sudden i am hungry and i only crave one thing... their pizza.,"[0, 0, 1]"
it hits the spot every time,"[0, 0, 1]"
this tiny williamsburg spot is always pleasantly surprising.,"[0, 0, 1]"
the pizza is delicious and the proprietor is one of the nicest in nyc.,"[0, 0, 1]"
i have been many time and have never been disappointed.,"[0, 0, 1]"
they even scoop it out nice (for those on a diet) not too much not to little.,"[0, 0, 1]"
the cream cheeses are out of this world and i love that coffee!!,"[0, 0, 1]"
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,"[1, 0, 0]"
the turkey burgers are scary!,"[1, 0, 0]"
the worst excuse for japanese food i have ever encountered.,"[1, 0, 0]"
the soup for the udon was soy sauce and water.,"[1, 0, 0]"
the sushi was awful!,"[1, 0, 0]"
the rice was poor quality and was cooked so badly it was hard.,"[1, 0, 0]"
"furthermore, the rice had no seasoning, so the sushi was bland and disgusting.","[1, 0, 0]"
"the fish was adequate, but inexpertly sliced.","[1, 0, 0]"
it is obvious that no one in the restaurant has any idea about or experience with japanese cuisine.,"[1, 0, 0]"
"good, fast service.","[0, 0, 1]"
i would highly recommend.,"[0, 0, 1]"
food is great and inexpensive.,"[0, 0, 1]"
the location is perfect.,"[0, 0, 1]"
give it a try and enjoy.,"[0, 0, 1]"
"well, this place is so ghetto its not even funny.","[1, 0, 0]"
if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you will love it here.,"[1, 0, 0]"
would never go back there.,"[1, 0, 0]"
awsome pizza especially the margheritta slice.,"[0, 0, 1]"
always busy but fast moving.,"[0, 0, 1]"
great atmoshere and worth every bit.,"[0, 0, 1]"
open late (well as late as i ever got there and i am a night person),"[0, 0, 1]"
winnie and her staff are the best crew you can find serving you.,"[0, 0, 1]"
what more can you ask for?,"[0, 0, 1]"
"for authentic thai food, look no further than toons.","[0, 0, 1]"
"try the pad thai, or sample anything on the appetizer menu...they are all delicious.","[0, 0, 1]"
everything about this restaurant was special.,"[0, 0, 1]"
"the service was attentive, yet discreet.","[0, 0, 1]"
the flavors robust and subtle.,"[0, 0, 1]"
the brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,"[0, 0, 1]"
i am saving up for my next visit.,"[0, 0, 1]"
the place was quiet and delightful.,"[0, 0, 1]"
service was good and food is wonderful.,"[0, 0, 1]"
i did not try the caviar but i tried their salmon and crab salad (they are all good)  ,"[0, 0, 1]"
it is definitely a good spot for snacks and chat.,"[0, 0, 1]"
"as a retired hipster, i can say with some degree of certainty that for the last year lucky strike has been the best laid-back late night in the city.","[0, 0, 1]"
"the wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she is-way-cuter-than-me-that-b@#$* way).","[0, 0, 1]"
"the food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.","[0, 0, 1]"
"but the best part about ls is the late night atmosphere, delightfully free of the bts.","[0, 0, 1]"
"you can get a completely delish martini in a glass (that is about 2 1/2 drinks) for $8.50 (i recommend the vanilla shanty, mmmm!) in a great homey setting with great music.","[0, 0, 1]"
"the in-house lady dj on saturday nights has outrageously good taste in music, and moreover, takes requests.","[0, 0, 1]"
you can not go wrong with this place.,"[0, 0, 1]"
suan is a great place that i often take my friends (classmates) too.,"[0, 0, 1]"
"its location is good and the fact that hutner college is near and their prices are very reasonable, makes students go back to suan again and again.","[0, 0, 1]"
i love their thai,"[0, 0, 1]"
noodles with shrimp and chicken and coconut juice is the must!,"[0, 0, 1]"
i will go back to suan soon!,"[0, 0, 1]"
in summer-eat outside on a terrace (another great feature of suan)!!!,"[0, 0, 1]"
i cannot imagine a friendlier staff working in a restaurant.,"[0, 0, 1]"
i cannot imagine better indian food in all of the city.,"[0, 0, 1]"
i cannot imagine you not rushing out to eat there.,"[0, 0, 1]"
"during the course of the past 3 months, the chef and staff changed and it was not for the better.","[1, 0, 0]"
i wish they would change back to what it was before.,"[1, 0, 0]"
the food now is inconsistent.,"[1, 0, 0]"
this is the kind of place you would like to take all your friends to and still keep a secret.,"[0, 0, 1]"
the setting is casual and romantic.,"[0, 0, 1]"
prices are very good.,"[0, 0, 1]"
the food is excellent! ,"[0, 0, 1]"
"if you are daring, try the balsamic vinegar over icecream, it is wonderful!","[0, 0, 1]"
"do not get the go go hamburgers, no matter what the reviews say.","[1, 0, 0]"
they were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,"[1, 0, 0]"
steamed fresh so brought hot hot hot to your table.,"[0, 0, 1]"
"the wait here is long for dim sum, but if you do not like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for chinatown) alternative.","[1, 0, 0]"
"a few tips: skip the turnip cake, roast pork buns and egg custards.","[1, 0, 0]"
these are overpriced and you can get better just around the corner:,"[1, 0, 0]"
i was pleasantly suprised.,"[0, 0, 1]"
the food was exceptional.,"[0, 0, 1]"
"i choose to go with one of the special, the braised lamb shank in red wine, which was excellent.","[0, 0, 1]"
this little place has a cute interior decor and affordable city prices.,"[0, 0, 1]"
"have eaten at ginger house several times, and it is always good.","[0, 0, 1]"
the fried dumplings are great!,"[0, 0, 1]"
finally a reliable chinese restaurant!,"[0, 0, 1]"
this place would be so much better served by being run by a group that actually understands customer service.,"[1, 0, 0]"
"the only thing you can do here is walk in and eat .. but planning an event, especially a small, intimate one, forget about it.","[1, 0, 0]"
"they are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!","[1, 0, 0]"
"nobody at this restaurant will give firm answers about anything and in the end, not one person takes responsibility for anything.","[1, 0, 0]"
"terrible, terrible management - deserves to be shut-down.","[1, 0, 0]"
never fails to please.,"[0, 0, 1]"
"delicious bagels, especially when right out of the oven.","[0, 0, 1]"
service is fast and friendly.,"[0, 0, 1]"
"only drawback - they will not toast your bagel, and they do not make eggs for the bagel.","[1, 0, 0]"
but that is highly forgivable.,"[0, 0, 1]"
"been there, done that, and new york, it is not that big a deal.","[0, 1, 0]"
"the food is decent at best, and the ambience, well, it is a matter of opinion, some may consider it to be a sweet thing, i thought it was just annoying.","[1, 0, 0]"
"if celebrities make you sweat, then your in for a ride, but if your like most around these parts then you will just yawn and wonder whats with all the hype.","[1, 0, 0]"
"rao is a good restaurant, but it is nothing special.","[0, 1, 0]"
"but after last night, spice grill is the only place i am eating indian cuisine.","[0, 0, 1]"
you must try the shrimp appetizers.,"[0, 0, 1]"
even my indian friend could not believe how good and tasty everything was.,"[0, 0, 1]"
this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,"[0, 0, 1]"
"great food, great prices, great service.","[0, 0, 1]"
"if you are looking for a good quality, cheap eats - this is the place.","[0, 0, 1]"
it is a perfect place to have a amanzing indian food.,"[0, 0, 1]"
i really loved the different and inovated touch that is the cheff gives to the food.,"[0, 0, 1]"
"also it is great to have dinner in a very romantic and confortable place, the service it is just perfect...they are so frendly that we never want to live the place!","[0, 0, 1]"
"their bagels are fine, but they are a little overcooked, and not really a  ispecial' bagel experience.","[1, 0, 0]"
great bagels made the old-fashioned way.,"[0, 0, 1]"
drawbacks: service is slow and they do not toast!,"[1, 0, 0]"
the food was absolutely amazing!!,"[0, 0, 1]"
the baked clams octopus we shared as appetizers were the best we have ever had!! ,"[0, 0, 1]"
"the lamb was tender so full of flavor, the dessert was divine!!","[0, 0, 1]"
the waiter was attentive.,"[0, 0, 1]"
the place itself is beautiful the bar scene seems to be happening.,"[0, 0, 1]"
dessert is a joke...dont bother,"[1, 0, 0]"
"volare virgins or weekly regulars, everyone gets treated the same and you can not ask for more than that when the service is this friendly.","[0, 0, 1]"
"the restaurant has a family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.","[0, 0, 1]"
"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.","[0, 0, 1]"
the wine list is extensive and can easily hike up an otherwise reasonably priced meal.,"[0, 0, 1]"
fantastic place.,"[0, 0, 1]"
cute and decorative.,"[0, 0, 1]"
a pleasant surprise.,"[0, 0, 1]"
